"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,0.391253822804946,6.41479590184864,-0.321371201801065,6.37280787957199,0.341637350670858,2
3,0.963761629955738,3.79957837551556,-0.0770639266138583,5.14559922796634,0.58131043188485,3
4,0.998494733241075,3.7529196810953,-0.12337949355732,5.08212867172139,0.582113896615093,4
5,0.990601714474769,3.75372348485213,-0.124373275390883,5.07503851303742,0.582350267202933,5
6,1.0920346444131,3.88817557334661,-0.205408049785691,4.98589488278825,0.584487980704289,6
7,1.13726612338778,3.62147232544064,-0.349497973077787,4.87927559446863,0.56311334941474,7
8,1.86637268325828,2.89127093177504,-0.410582694714898,3.65351516583356,0.526467267936264,8
9,2.12279107468935,2.86268879896383,-0.48955304372778,3.313038496914,0.517539346708408,9
10,2.42012734787663,2.74005983478557,-0.152931532529139,3.18348797242298,0.503501842961121,10
11,2.35513110303648,2.62534846068802,-0.160686858038822,2.90471893081151,0.490130517690823,11
12,1.78549511280455,1.76879119197907,-0.312561265872724,2.48653860758829,0.439083099119535,12
13,1.74780610751057,1.65354017148803,-0.338150776615958,2.44795721152271,0.437405819725149,13
14,1.87416269225779,1.49390349212221,-0.857042750385621,1.69706446505664,0.431154931425905,14
15,1.93140002099384,1.52482862944245,-0.894438799219862,1.57959373496836,0.432236565628168,15
16,1.93132554840939,1.48678206951342,-0.89767544527765,1.55077232878624,0.431154793455053,16
17,1.83817399453191,1.3288597100267,-0.852321977732183,1.55166022481304,0.424259019351832,17
18,1.81368412962574,1.28168965574682,-0.850626393260391,1.47623948287858,0.420965060265495,18
19,1.75059313285429,1.36262603093542,-0.872969466952921,1.29802239555977,0.415633779896148,19
20,1.68934609571932,1.73376041338475,-1.00755363714377,1.00691956498188,0.410515682552145,20
21,1.66878124361441,1.16024425801374,-0.815223432561937,0.728087003769584,0.38659533259212,21
22,1.6626514588073,1.16827762102603,-0.814873814694883,0.721038785918407,0.386666988376048,22
23,1.60945911165842,1.11518553869468,-0.821130543213753,0.693289938746566,0.386970401568373,23
24,1.62605723873039,1.08655937757595,-0.865993759224315,0.519626600970099,0.379373456497017,24
25,1.537861478618,1.08500870439248,-0.891706346309675,0.446656142388288,0.37455602775041,25
26,1.57049480688707,1.02511618298101,-0.884430328383257,0.480504019449087,0.370380494451735,26
27,1.52649046641674,0.978834200059004,-0.888636415859438,0.495713535571086,0.36837604758216,27
28,1.5349256548901,0.975596884837202,-0.892987504901972,0.490568035605724,0.368521209324362,28
29,1.53976811697431,0.769976630365701,-0.858000324309356,0.340831468782144,0.336555129906991,29
30,1.54506042751228,0.734313434746627,-0.844305523547495,0.35470930488666,0.33628158433573,30
31,1.52378426173242,0.690988924064549,-0.838310071106507,0.387673039203188,0.334763982291196,31
32,1.52320621115751,0.691020682397031,-0.837916027139212,0.382616136384377,0.334846314774523,32
33,1.30054143371943,0.631691316908517,-0.838624336684573,0.310962021811946,0.315458470149695,33
34,1.29893229636133,0.632293340329757,-0.839114334629363,0.311408420994597,0.315377201885844,34
35,1.36053993222716,0.613766716163031,-0.820706792597491,0.316636742140842,0.310716450970489,35
36,1.31587009232728,0.516448842702115,-0.824805347689332,0.300850679641087,0.306766312038681,36
37,1.31427930609113,0.519110739560272,-0.825931974708126,0.299044009473112,0.306749605467049,37
38,1.29585866395701,0.556043344071243,-0.835502980567824,0.225814064023252,0.305198147136625,38
39,1.30347550944323,0.23086428254284,-0.803361439677653,0.1202175851652,0.28417458033782,39
