"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,0.924942608719377,5.98269078091101,0.361790289111363,3.96416244285225,0.406853209531643,2
3,0.917791924538487,6.02787461108315,0.344983643401859,3.99392790979852,0.408169591339332,3
4,0.0662941645589069,5.72477422621978,0.788046887536568,3.78371273331602,0.430050978835771,4
5,1.7083273337041,3.53590255176459,-0.0829843706343511,2.9581829202807,0.495740625712085,5
6,2.08339814849199,3.39268889270611,-0.160044537657204,2.79788612753428,0.543214612917924,6
7,2.10273572761555,3.10615500817349,-0.0313476498594311,2.81513224920827,0.547115753387147,7
8,2.14022837224912,3.15800011710971,0.0113239067822739,2.82821108229459,0.547964020575882,8
9,2.19893916633228,3.9647371142321,-0.994992642914294,1.72828873423757,0.586229397028564,9
10,2.38276111701216,3.1730785415084,-0.752189736651395,1.81093482264928,0.593411506295072,10
11,2.46379613556098,3.156808765977,-0.615961897935418,1.81637306560717,0.599566857601722,11
12,2.39463574889516,2.60131402127725,-0.60805648105297,1.60063261015558,0.600011970383513,12
13,2.35081850895465,2.51352444834048,-0.593887343024346,1.38163903397843,0.596255480735415,13
14,2.32541107627268,2.53258636491028,-0.596835221580867,1.34686601281273,0.597790165577887,14
15,2.3053790165839,2.43732959877284,-0.636875901914804,1.31175435751587,0.594000906649273,15
16,2.30444738848331,2.43825222027992,-0.637816566424075,1.31316224433075,0.593916137854774,16
17,2.31792126061702,2.43732503493776,-0.626871025625707,1.31253591809229,0.594714468147148,17
18,2.10176486191267,2.0830453979451,-0.530161194858753,1.24374989897412,0.563275747412408,18
19,2.11180980277685,2.09497629309813,-0.544495055194055,1.22900901568026,0.561507987969257,19
20,2.12037964700253,2.06801831137315,-0.594273081917462,1.11920094339542,0.543246549603414,20
21,1.92266789010536,1.98470856782481,-0.753219350527302,0.923768163023016,0.518872539455627,21
22,1.92372641803333,1.75580563056144,-0.74678349572153,0.943655332934828,0.508001139680166,22
23,1.91858598867669,1.77672860943092,-0.748470156896816,0.952450889501267,0.508289433577174,23
24,1.94807479660909,1.59758090584542,-0.591325463274069,1.03123426666397,0.501380347117791,24
25,1.92927952432476,1.58279177074366,-0.553788544364457,1.03966445910197,0.50029629494043,25
26,1.98115402219475,1.62854793184267,-0.580839933142647,1.00861748862442,0.495580943490087,26
27,2.05638015773721,1.39507039324147,-0.556159103002778,1.07798577013491,0.474603250054898,27
28,2.05471421684341,1.3991279036252,-0.562305070603342,1.07428383447921,0.474446090407786,28
29,2.134142669429,1.36027441574653,-0.592924741851202,0.96019086757448,0.44054252903115,29
30,2.0147163091654,1.35398508602386,-0.575799133664318,0.932600179728613,0.425018549064238,30
31,1.74370867368427,1.10794757943556,-0.658901618992472,0.778982012132113,0.377434799775516,31
32,1.71962747563643,1.06816810462073,-0.660313810440919,0.765315732108215,0.377295163206926,32
33,1.71144735634689,1.06795674843888,-0.64918929469362,0.75674580459629,0.377190711905715,33
34,1.68703101729379,0.996412006493561,-0.645589998664493,0.752459985847263,0.3747005622792,34
35,1.69011883445187,0.986342250204115,-0.644581234479657,0.747280026832064,0.373658139054419,35
36,1.68884070350772,0.994543701553491,-0.651960037359347,0.730306925814972,0.373270175402028,36
37,1.65417288937404,1.10588246076237,-0.709730778125621,0.612400466733025,0.369955964205326,37
38,1.51073598786918,0.963239513676682,-0.857354495993586,0.364796523181571,0.339624004109441,38
39,1.44712259558137,0.452336320780739,-0.835817571127685,0.608164416304263,0.310343183097223,39
