"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,0.982905445596889,7.14534064061192,-0.835842178310851,6.79386656807934,0.484486095465392,2
3,2.46726029663636,5.23438862927811,-0.900099508604122,3.61410647313239,0.653624862951335,3
4,2.31968700432241,5.12408976941183,-0.862847691055628,3.92804332045827,0.640834155633318,4
5,2.40846161853565,3.96113700642588,-0.388794831630983,4.36058580910166,0.604640660361642,5
6,2.12356545600471,3.42166755301068,-0.372798263696475,3.44653995880032,0.583959836188655,6
7,2.18677255410231,3.5025195861649,-0.60618732297049,3.31738774518868,0.588241535863507,7
8,2.29605748265186,3.48658874843084,-0.553461590714787,2.31260638281254,0.576310936087585,8
9,2.26997198330227,3.43966113451594,-0.564616876169099,2.30154781882249,0.576741424536373,9
10,2.37223152117953,2.86455574958114,-0.212647342134378,2.35134267640956,0.53503003244818,10
11,2.31271440403372,2.5031218430826,-0.014036390811804,2.56646940881646,0.506454488677265,11
12,2.25699826895764,2.33156182222519,0.0533090450077602,2.4944909958654,0.500741064032237,12
13,2.03170028238012,1.65674552998328,-0.233466832729466,1.84302148454542,0.452813089210339,13
14,2.06904676489622,1.46214801453848,-0.395921718794756,1.78338148017851,0.445677125264755,14
15,2.09034249204838,1.57744294216687,-0.377673112459856,1.82450438288151,0.44774184439101,15
16,1.98756434972057,1.43369113450896,-0.46178682595009,1.752994531616,0.449004156768178,16
17,1.99121423976712,1.43452528751269,-0.453801102715867,1.74918935325665,0.448865264788822,17
18,2.01272194555449,1.29003981434722,-0.444610559482057,1.80518000135499,0.444270334942803,18
19,2.02920955559737,1.29515270972016,-0.494591728257516,1.79816094174974,0.443535175035408,19
20,1.97335415500042,1.44059294090153,-0.656695152768732,1.38069634530981,0.425948087524128,20
21,1.97516331008343,1.4435111758289,-0.647095126260105,1.36850743910856,0.425881633561855,21
22,1.9801765018808,1.43342328733203,-0.639092441326457,1.38116228357231,0.425799040345269,22
23,1.69131569297538,1.00532462483633,-0.620820166260643,0.806535699356927,0.359578607824078,23
24,1.69376570506825,0.839164216158493,-0.63692460545292,0.823243062436458,0.355637958375486,24
25,1.70700387332244,0.759102200668061,-0.639794009925748,0.737116937164934,0.353533398947408,25
26,1.63683413607193,0.593667732118597,-0.644730130161456,0.693760422021118,0.33976555641063,26
27,1.62578556203171,0.366872390854856,-0.58279438934424,0.835080528042947,0.328122657091403,27
28,1.62334389695962,0.373601459145217,-0.562821774673043,0.836341786218079,0.327685629980301,28
29,1.59573948318709,0.322890357032468,-0.559407873757093,0.875004459323287,0.325864228221748,29
30,1.59129597083689,0.318444350825349,-0.5761576216068,0.864355392280313,0.325299583352058,30
31,1.60988018194787,0.412053791555222,-0.600674167989149,0.730397409780784,0.318236879984237,31
32,1.57484337954159,0.400864625317221,-0.599597332151048,0.731448441693073,0.313763531603896,32
33,1.57380418295535,0.384337334881796,-0.608681141720725,0.727999007349996,0.313348702255333,33
34,1.5731200679161,0.385188572068009,-0.608500126120975,0.728156158711345,0.313310609163224,34
35,1.49853749866525,0.199430768825087,-0.638265841696019,0.582096104328625,0.302983173687325,35
36,1.45188205124127,0.272992848173412,-0.692322438824274,0.413483250824726,0.294894834070207,36
37,1.42235400872654,0.149136608420162,-0.709185327291792,0.314566788513344,0.289798316886611,37
38,1.42721148176408,0.0722414597249469,-0.692342639586771,0.337784254638025,0.289282219391718,38
39,1.42752065036148,0.0739825156033201,-0.70685451978502,0.342451306829513,0.289076712744601,39
