"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.34167172136883,0.980212526056597,0.771832926143316,1.44413788210918,1.00164919363543,2
3,-0.502950596678093,0.532968802899141,-1.15398047153028,0.739950065680411,-0.904942174321852,3
4,-0.485445792663299,0.564476383038779,-1.09129524409282,0.710999439095719,-0.84319342444007,4
5,-0.398435473155024,0.552767503099808,-1.00712436459718,0.716687946352088,-0.750468913910825,5
6,-0.967938114617382,0.865652786807316,-2.25991261243037,0.772335175521381,-1.7292808793577,6
7,-1.13370802745262,0.869597110831082,-2.42421412946159,0.714145892961855,-1.89668187960977,7
8,-1.1169136506272,0.53640529345105,-2.00602556381835,0.476258454466671,-1.75662453283019,8
9,-1.0837443343328,0.535828955886894,-1.97908347025878,0.474006303406441,-1.72984045213344,9
10,-1.18667383907618,0.566533972367118,-2.16683162657054,0.518446935200338,-1.88565797321118,10
11,0.00336749578752515,0.401950652956331,-1.04920397946478,0.460640274069793,-0.702320787832427,11
12,-0.288716151291317,0.445653538280747,-1.4349555904592,0.428871213475549,-1.03818697174862,12
13,0.0534664689974051,0.475953241622002,-1.1847117577133,0.429730330359002,-0.726371143128435,13
14,0.610507199778395,0.391476808828548,-0.679782859143232,0.399316080125918,-0.134619242500169,14
15,0.680431588729665,0.328636036835224,-0.505852557044126,0.368195346750927,0.0104268098394341,15
16,0.790839089960616,0.313506308464736,-0.37102550091853,0.367461140974007,0.132301415786676,16
17,0.671282122266978,0.306104733966439,-0.448448108826233,0.367233977606953,0.0290625967519658,17
18,0.561522877634461,0.299080349281433,-0.548677052862087,0.349478344268811,-0.077267743224521,18
19,0.591245629378616,0.311556469748851,-0.521920999945289,0.348624993500101,-0.052005982206433,19
20,0.726193136260409,0.3053322845661,-0.378368042652345,0.345785413885851,0.0804784833402237,20
21,0.716528134238306,0.302321891538848,-0.370069142807127,0.342451025584405,0.0837853300159231,21
22,0.752766210034097,0.305075272645337,-0.344517461529873,0.34550799736796,0.115345646830247,22
23,0.698898949484976,0.307655597096705,-0.395014524030547,0.348084696952977,0.0600616736521227,23
24,0.705024881483769,0.31029085910824,-0.37785085752538,0.34726364255115,0.0700764967915422,24
25,0.705181682493646,0.28056533067539,-0.343090825182862,0.366338469590878,0.0937089991376861,25
26,0.78508754352076,0.266232875143398,-0.245032702296796,0.36344895347707,0.189534387485967,26
27,0.359379935059372,0.244786331080418,-0.529815557012763,0.363515553172746,-0.175343136090605,27
28,1.26490160528083,0.180017311783644,0.632981094707728,0.15601149140317,0.959568504529535,28
29,1.34479045599972,0.174874420728796,0.708315259344831,0.156262949198327,1.03625993339346,29
30,1.34692389084486,0.174033868057789,0.714259645854544,0.155572208818029,1.04006639950556,30
31,1.24212312290218,0.0968302875105431,0.79092467535178,0.148107141358593,1.04057518321791,31
32,1.18476578979834,0.0997312920231879,0.747315301552415,0.140020901992867,0.987096017418984,32
33,1.1219712593268,0.147262191961132,0.582147091535589,0.181817345641234,0.833368626670847,33
34,1.0032226003233,0.113994906923854,0.563401455551387,0.124733796808153,0.775311841615444,34
35,0.70146313591842,0.0624683368694801,0.237630708587786,0.11558013020463,0.485189551183972,35
36,0.558510283626142,0.0531811751061154,0.15272193917175,0.0729780976404103,0.366170564969724,36
37,0.65873096342304,0.0425366751460942,0.252709773095271,0.0763128421905126,0.466340579895274,37
38,0.654239275054456,0.041463019640136,0.246941911273175,0.0793131057029463,0.461977269033003,38
39,0.0793274695487632,0.0151429837047023,-0.271435586414426,0.0873368680856182,-0.0855428565812196,39
