"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.91102865143123,0.908925870115745,1.37646759139606,1.37724246626094,1.53923629885799,2
3,0.316865869325751,0.636989824144196,-0.403407692122722,0.964476895946984,-0.0952245462447998,3
4,0.322991932553542,0.645218813848202,-0.379480010844099,0.949612545367763,-0.0786344389637876,4
5,0.427273732461847,0.606934393899364,-0.285184192462139,0.943960548902567,0.00801849702554963,5
6,0.265709640658995,0.823138734842068,-1.03676416626531,0.8755414124735,-0.631396773720151,6
7,0.271157707005125,0.782795523911063,-0.875311573132781,0.854387340148143,-0.547722531982623,7
8,0.269190636256008,0.448311715905829,-0.502897664941785,0.507391795411254,-0.227315820423044,8
9,-0.0718241112852098,0.46059049389447,-0.810651192141708,0.556845727630487,-0.540226724627194,9
10,-0.0748423735686664,0.465205207019578,-0.822297311907272,0.562904099597745,-0.549401636882425,10
11,-0.39459915736249,0.547381341884329,-1.27108177212848,0.54833899304068,-0.966865675873163,11
12,1.15134614341075,0.475454949233428,0.0409734013174863,0.404611490080513,0.402980166393737,12
13,1.13586936625088,0.471464662254094,0.0326456903378473,0.401276560952478,0.392218206378772,13
14,1.17488710887872,0.338856240428007,0.272533231772437,0.350794809145519,0.611492489246745,14
15,1.3761618755802,0.336044488550781,0.337341828185884,0.348076254654465,0.827378685424962,15
16,1.74198123755351,0.354520230879308,0.636224129714975,0.3767094522933,1.13426576971579,16
17,1.80232679466987,0.340838030291092,0.876967882750552,0.360574681606711,1.32326224131008,17
18,1.66310842118383,0.362056217954145,0.807888001908877,0.354644429523935,1.22986720128378,18
19,1.9400162437212,0.340194344883705,1.0813332475338,0.35233762213249,1.51044086070145,19
20,1.90698590294329,0.337519035601162,1.05337992088205,0.346340636831564,1.48639926354672,20
21,2.24155460407852,0.347921132814786,1.35395722658545,0.418838937502678,1.77783558887501,21
22,2.14637303520872,0.332235216894687,1.27246995233856,0.403799516388996,1.6943323064022,22
23,2.14276698834749,0.330257699604062,1.27560132207748,0.402197289646503,1.69587261712136,23
24,2.50917576123832,0.35806947302242,1.59278197294337,0.372470859895544,2.03681805184364,24
25,2.50841262642122,0.357248866613598,1.56396610298418,0.391387941347784,2.01617849398086,25
26,2.25497860423295,0.355882026246004,1.38166926436275,0.392674165891782,1.80899785579166,26
27,2.42703088638219,0.360777029909033,1.50351136971993,0.40242094571275,1.95763634689711,27
28,1.74618972948784,0.185736353470905,0.936925697781071,0.29896784134201,1.28587556096639,28
29,0.566493383195141,0.130795780007487,0.105063245787917,0.206927016917285,0.309957997025641,29
30,0.540151015986458,0.140555090497379,0.0757265826965255,0.199246290147774,0.282576117144735,30
31,0.778620433947211,0.209741302775684,-0.0149289629590358,0.265900885995445,0.345822713953349,31
32,0.832672840689728,0.200743505353461,0.0419804232554362,0.259852056546184,0.400112730716034,32
33,0.731821856782166,0.216401065176036,-0.0810245891313395,0.223966572053975,0.298517331349151,33
34,0.158296670986262,0.183636718096299,-0.346802141016824,0.159383128915332,-0.10585060825099,34
35,0.101218779591282,0.193588220336498,-0.403275328684007,0.167977282512012,-0.162871070788602,35
36,-0.0564652119382576,0.184465558076311,-0.538542970537834,0.14412934883137,-0.302095419829527,36
37,-0.0839983979106558,0.0558432290005908,-0.309287724906371,0.0488283046477198,-0.182474831936275,37
38,0.0861534937907281,0.102755744621683,-0.196477821107286,0.0211416382183596,-0.0351880131068116,38
39,0.0374439804721333,0.113087306050075,-0.313146068543299,0.0351795725430693,-0.115250424056897,39
