"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.49112181304221,0.961091877712624,0.928970956265236,1.42839474767053,1.04676445883972,2
3,-0.547210052058885,0.461924484152197,-1.08353724815846,0.598879663345008,-0.965870796750237,3
4,-0.28136829488765,0.519087976102593,-0.858403201238616,0.602372513061057,-0.705147318055895,4
5,0.196080172410929,0.530878575178274,-0.360900446727765,0.610177942407898,-0.209053876326307,5
6,0.496195213692047,0.567975624949634,-0.504935725440523,0.716391504631393,-0.106776774724275,6
7,0.145300186850384,0.560425244106849,-0.575231422953313,0.597731243621537,-0.236856892098796,7
8,0.0460098160406771,0.467510571865959,-0.617568702221263,0.397761775396177,-0.274839972984739,8
9,0.230010304508646,0.457357036451892,-0.450663836928378,0.402428244628207,-0.102865190167607,9
10,0.238928636043688,0.447417742487435,-0.517349029917632,0.459591836733959,-0.152348925295998,10
11,0.206345462041082,0.465452906880989,-0.625608164550111,0.476013735033473,-0.235899940496912,11
12,0.962301906810867,0.507750395480731,-0.127051258258683,0.411044986294146,0.347823729176418,12
13,1.23374384372915,0.38580037985617,0.0361234874268974,0.341510150004186,0.664599889986655,13
14,1.35352727317843,0.383844297471138,0.135924691103977,0.347302769374609,0.770159954183916,14
15,1.15225883288047,0.335724168571742,0.0240724351436368,0.327881041966258,0.589575167982683,15
16,1.19101995422799,0.30904977088833,0.0383296043969997,0.322390702137324,0.636610330494042,16
17,1.08109672036621,0.309952728949477,-0.0589435952435321,0.32276289894654,0.532512996217707,17
18,1.03760754756197,0.311492115246229,-0.0910800841719449,0.330852108976248,0.499872797547426,18
19,0.947541463512586,0.312788031471255,-0.161161322788527,0.332325888382709,0.416606983606892,19
20,0.986252099921972,0.291759858951781,-0.133706763872708,0.336473345854431,0.450032121319402,20
21,1.014426922666,0.280376998365932,-0.109725945449795,0.339767721139147,0.47830663075954,21
22,0.913064653675561,0.278755522402807,-0.175113285430878,0.32854504594467,0.398220741978306,22
23,0.560024536677848,0.267200560747209,-0.411748940763918,0.286026620276889,0.0816392527093855,23
24,0.753221251680048,0.27089244344648,-0.246762009849657,0.280354649343131,0.261461321520226,24
25,0.77044752655487,0.267181947920543,-0.217810905665481,0.27609260664652,0.286736954504095,25
26,0.999285743663174,0.227942364758606,0.0446985630327224,0.242614806679398,0.543493584590644,26
27,1.20380807301442,0.202150113944496,0.235511122371269,0.240022201674518,0.728486401306437,27
28,1.0038784856146,0.162591645694821,0.212093270654568,0.213015527764408,0.631226693644164,28
29,0.922224942113083,0.170680857395745,0.115420671422372,0.220009262153491,0.540454467101321,29
30,0.925277331136537,0.163908098895447,0.100888326673196,0.224473771051016,0.539860587325121,30
31,0.804176274390769,0.114340965820799,0.234058419918518,0.123739572008028,0.536699414761944,31
32,0.524285876421204,0.0420965836456887,0.0935926229477188,0.111030694701754,0.328584114983538,32
33,0.451672302243102,0.156042522724209,-0.192172757225346,0.115864040172802,0.155763332505805,33
34,0.337079998809926,0.0907967398868801,-0.16450127240078,0.112730168666206,0.110809497876283,34
35,0.663324045419235,0.243127939014565,0.151419627109499,0.0989032213767132,0.428944942773805,35
36,0.687492779571006,0.184747673753619,0.311981536256968,0.0871593021989533,0.519060471519377,36
37,0.110672442086642,0.163975229693264,-0.0974086381305199,0.0507882984750803,0.0159828773697723,37
38,0.192525354108666,0.183331390562481,-0.0530479151400215,0.0401000165429247,0.0797791978357793,38
39,-0.179760560999208,0.136995379564021,-0.404598317950451,0.0314942113114438,-0.287490538175901,39
