"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,-2.6792176507528,1.29846255115568,-3.09830636739198,1.37966700426979,-2.85791122832871,2
3,-1.52617687156694,0.502849033835424,-2.04521456258366,0.575784567785067,-1.72870102082988,3
4,-1.59982949909266,0.515237321366425,-2.15494809085766,0.615414602012666,-1.7943616243762,4
5,-1.33383860770608,0.496946039132238,-1.89438542223172,0.597646291821571,-1.51745960767498,5
6,-2.03629926412331,1.18366021981425,-3.34809725544124,0.706096667636384,-2.73377067226094,6
7,-2.06948979492016,1.19934458879887,-3.31910403374091,0.685319154339426,-2.70546353049544,7
8,-0.379424934864492,0.635885109239825,-1.30576995410971,0.540724327034504,-0.789628350175696,8
9,-0.41019119710629,0.640405885176899,-1.33914257414231,0.53963278926872,-0.821593032387052,9
10,-0.414310255854276,0.637800184072688,-1.33667104958981,0.536365935562657,-0.823426207711531,10
11,-0.233143171444541,0.657879164484034,-1.23630198750566,0.538983776691392,-0.66555577386664,11
12,0.411998293064856,0.635094942459194,-0.894785801602402,0.482790387154044,-0.287064750510097,12
13,1.05898520502471,0.48316487425976,-0.317897535127025,0.402598987059521,0.439499112123818,13
14,1.95677259143372,0.401466601181671,0.684284392481756,0.371099122609178,1.43579709275421,14
15,1.80591008784762,0.362704906891777,0.582346026643791,0.353848903415607,1.28952892618645,15
16,1.87981903269478,0.271887770417724,0.864926954086669,0.299160979840781,1.43340755143302,16
17,1.8788992881456,0.271720704312134,0.863763347377999,0.299246721208547,1.43233739241717,17
18,1.901287933201,0.233246576431915,0.89535253442384,0.300989025037653,1.43427689725284,18
19,2.25881512598583,0.253748529013894,1.21091923189175,0.309148423190636,1.78058167620589,19
20,1.85081429848204,0.21741313049385,0.874216151660688,0.293595096557518,1.4418546965157,20
21,1.84795606174196,0.218353657837261,0.867702041320987,0.294882722235175,1.43850428524159,21
22,1.57332752664933,0.264112963595765,0.545293056467966,0.316392404941205,1.16253072879239,22
23,1.75686450632967,0.28208966143517,0.796776535798321,0.285472003299769,1.36717601236313,23
24,1.85847447327553,0.283590924104375,0.859362000936907,0.301205223325408,1.45342051594287,24
25,1.67523051908163,0.142000370930486,0.886463116203057,0.235964860148527,1.30304610873781,25
26,1.31356760937625,0.100572044741126,0.673076781863829,0.184458818367801,1.01039145307791,26
27,0.550330342856074,0.154053202077082,0.111376156665337,0.143722174447962,0.394033670068909,27
28,0.559088749866632,0.161032543221858,0.11599170704767,0.139951255494851,0.402088772154033,28
29,0.395915717762168,0.14979034919336,-0.0042313159324925,0.134433727166617,0.234669512519364,29
30,0.700621428676061,0.150959267170576,0.250454062180272,0.141175357375524,0.504681220984586,30
31,0.784065308322972,0.153307515180761,0.296030947556434,0.147806791661361,0.57130886830127,31
32,1.10962419387115,0.0995252777220733,0.571650316102621,0.126577947001852,0.841466801530569,32
33,0.969045261064802,0.111205260235983,0.485666267662637,0.109148833418722,0.730096661569026,33
34,0.810543257946488,0.117753334253309,0.293402747221182,0.108340822197451,0.547184678002809,34
35,0.674382449053134,0.0943416448051707,0.275983842750032,0.0768312876402935,0.482355812077417,35
36,0.52438250693834,0.0711618276961446,0.229218319499606,0.0485881196860932,0.385116784043005,36
37,0.360813373696629,0.0651468859256728,0.0749169021339944,0.0328316003517924,0.225747021807276,37
38,0.217595649413739,0.0694186002340329,-0.246954948837459,0.0723769337092358,-0.00289469990172336,38
39,0.448393522188459,0.0712502478367002,0.0177582432038051,0.0851315190248089,0.23662754715398,39
