"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,0.163940529778478,6.5667042722235,-0.797923746624965,5.05649309235413,0.514937460221975,2
3,0.498805208903898,5.98909897426897,-0.712617757153887,4.16787622896101,0.53996538692174,3
4,1.05573450589074,5.4198346423121,-0.848397958326973,3.94290459801602,0.605446183473995,4
5,1.75277157977055,4.66818470187358,-1.9263616416755,3.0348300463308,0.665014037597355,5
6,1.86398939114117,4.09603156201637,-1.65096817797005,3.07402724484279,0.662469648195599,6
7,2.12745216858738,3.37732156841539,-1.00033988215908,2.43269857989556,0.677770083894135,7
8,2.33048502409074,2.99745665731985,-0.863349173505375,2.22243702512946,0.686179494552006,8
9,2.34131023778863,2.87235437930306,-0.914585659968333,2.25702859899646,0.692217393481193,9
10,2.3398940258695,2.80889635763504,-0.837319730925869,2.32047909055297,0.691577014180368,10
11,2.32352681404139,2.77712812369031,-0.891171887607441,2.10862208428489,0.686957224623624,11
12,2.20983009676875,2.83447360051043,-0.888829553862361,2.09719114494879,0.681918470244281,12
13,2.10356640011662,2.76762227839124,-0.911318118152467,1.97160307053964,0.667433736741693,13
14,1.92425733469831,2.33938237126261,-0.863336196815675,1.89511296867104,0.629731431567639,14
15,1.79724804773626,2.22718213300674,-0.784785281893799,1.85347163196834,0.612861270040584,15
16,1.80700184331494,2.11848670984026,-0.802163153087814,1.79919941863201,0.606662551765396,16
17,1.75849251741385,2.1690661158659,-0.837399948211909,1.75741973840586,0.604481678035112,17
18,1.67075857793173,2.11569743697853,-0.855365051204787,1.68059177428946,0.596390609278741,18
19,1.67954589873136,2.06924705315634,-0.851719144579254,1.70781561441731,0.593936095494468,19
20,1.53982790131582,2.1036409996166,-0.864154432584694,1.58552517274964,0.57582708050276,20
21,1.44607494514618,2.04081488703653,-1.01012529174505,1.40783952432603,0.549318477176873,21
22,1.42614922371423,2.03571036314927,-1.02837832504759,1.3240782063409,0.545705507038051,22
23,1.43993413839636,1.56050731005722,-0.864455683752296,1.19438665591685,0.488449980879744,23
24,1.67869166010089,1.0112398546412,-0.627900566490161,1.09634852148385,0.439177336260827,24
25,1.81909162405013,0.970544080962183,-0.720873408280088,0.833660251482539,0.400741671813654,25
26,1.80064067065323,0.933103271484452,-0.724540723662078,0.798990489023322,0.398100629351402,26
27,1.68421608258512,0.832672898516386,-0.744138506505923,0.787261537453674,0.391259954305262,27
28,1.65739626964188,0.767545412499501,-0.731036287914475,0.751901639419394,0.385023568447445,28
29,1.62605129039247,0.8068317769552,-0.786929237332622,0.693501571570021,0.38126007331543,29
30,1.49721640680201,0.677236058551568,-0.789548878535296,0.663742670439175,0.367740862799139,30
31,1.49803908373612,0.606641379666459,-0.799121905265846,0.76016699497803,0.36152153766191,31
32,1.44828990222167,0.437120179823579,-0.693039777819334,0.618106578463523,0.3315693075329,32
33,1.4509105968621,0.432457776421805,-0.688796107856451,0.620952747642521,0.331206938946377,33
34,1.48302332716323,0.332846281129637,-0.657670765868773,0.676538366611078,0.328774137970003,34
35,1.50165558098823,0.287070578537375,-0.660594774271424,0.6906982364394,0.327938593884791,35
36,1.45438901288947,0.330264795570266,-0.655653415557844,0.485743880001858,0.316816017702954,36
37,1.43944331927654,0.31505849788325,-0.659580894932012,0.427312132414555,0.312846113630729,37
38,1.47200047284554,0.128093394436306,-0.650210015323675,0.427810039731647,0.307341087420216,38
39,1.46521111399774,0.136236375549518,-0.665632237408792,0.425616356170686,0.306586966391452,39
