"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,-1.20269273429787,5.30263902921495,-1.01032662349993,5.57093431766141,0.156109956115945,2
3,0.939022981851727,3.76088952318269,-0.0798750315717827,4.19404191072132,0.41575313590209,3
4,2.52141534792983,4.15329906216174,-1.41691330630047,2.83206254957883,0.800033072777756,4
5,2.51372545128914,4.11850216155568,-1.41930476519858,2.88322743001788,0.799043042211959,5
6,2.35394609291198,3.73301476961742,-1.39772874624071,2.85288056284709,0.799797576864738,6
7,2.03731974864011,3.91174315173434,-1.64471312026444,2.20778128828238,0.826230188478816,7
8,2.04205163247248,4.06090407374825,-1.58776323005516,2.21504506131808,0.831481027556922,8
9,2.20615187111239,3.84928289008901,-1.31988374325298,2.1537734087839,0.815780826349671,9
10,2.26226264255009,3.90651376241262,-1.37575936926451,2.01317774791397,0.811980209504866,10
11,2.21265995061246,4.06117610940687,-1.54301095497701,1.96567589279412,0.803283315748076,11
12,2.14887032943062,3.86932728534567,-1.53468186577092,1.87145418403837,0.791327115885376,12
13,1.93615534962155,3.36134100303488,-1.72015873039085,1.62198566313336,0.748208824846159,13
14,1.87528305799795,3.28997775651811,-1.67423590632397,1.47300788653076,0.735308489959781,14
15,2.00154158152167,3.22972292712267,-1.66362233088832,1.30756825959162,0.727289063313393,15
16,1.99407847200921,3.09088361183171,-1.56803093640197,1.36562670546562,0.72015146147698,16
17,1.9711091359228,3.07963372240765,-1.5765013990015,1.36600453764192,0.719298883541676,17
18,1.85981551374385,2.78153248097493,-1.45479684949584,1.31895578264747,0.687254423921165,18
19,1.8543376663126,2.73560127513917,-1.47433125683841,1.29769722580046,0.68633374577007,19
20,1.79480749388178,2.79025053004988,-1.53801284136469,1.16069987914829,0.673103149152129,20
21,1.8287635620331,2.61239566076785,-1.46552806847173,1.20290264457128,0.651832137207082,21
22,1.70729256459408,2.39633837385667,-1.45863096017488,1.1345193045662,0.608507379743011,22
23,1.66652704965864,2.33551196313362,-1.45303228537015,1.03747040129242,0.596400902180507,23
24,1.56880944783903,1.96202100039211,-1.21899617335122,0.938798555805227,0.525950293240548,24
25,1.73145509971545,1.85924852250531,-1.20332166025929,0.909150165494878,0.51074399188541,25
26,1.67434514905163,1.75614916761359,-1.19960991382031,0.797346816268598,0.494561434289694,26
27,1.65781115153111,1.74992253230987,-1.21173114527609,0.80640383359392,0.493459378985053,27
28,1.60197396734972,1.64324956721662,-1.2261080513118,0.763815905924067,0.48222812189945,28
29,1.60763943827329,1.59334902210226,-1.147811199065,0.747484725073927,0.476066395152278,29
30,1.62015870301014,1.55955802957298,-1.15839813914514,0.811092157320531,0.473719805214825,30
31,1.62840490148317,1.50720340553142,-1.17742851094767,0.825152366641749,0.468556174729526,31
32,1.60364814444976,1.61640784344188,-1.16772900567672,0.716814263067541,0.465137347234727,32
33,1.49285947893253,0.982423384702456,-0.782313559566958,0.456228615200497,0.339135389709051,33
34,1.47989213997519,0.98986944378383,-0.806611172720664,0.349157224795578,0.335564883108225,34
35,1.43633727378496,0.963793883835361,-0.870566101271843,0.196204566248565,0.320905389710698,35
36,1.43869262619688,0.974263157917982,-0.876268027490951,0.183057445639265,0.320890934247604,36
37,1.43925044186001,0.972346834075018,-0.875299970598413,0.183515499293965,0.320912152328141,37
38,1.43201829355131,0.973824896900671,-0.886258283955902,0.17085647927395,0.320440494686341,38
39,1.40757679306786,0.930058455573734,-0.914179318638623,0.103911531400867,0.31655029720682,39
