"n.dims","mu.p","sd.p","mu.n","sd.n","cutoff","k"
2,1.77394663982884,7.5958054793441,-0.107232961687318,6.5694041186425,0.0731542992407777,2
3,0.774365423486955,3.81402493307611,-0.646093570606915,4.00062426260079,0.261441670564191,3
4,1.64474101273879,2.80973563416124,-0.775810017692469,4.03418003848591,0.339748288177891,4
5,1.4619090283905,2.81261756244728,-0.753817950174168,3.9931143894424,0.357953388106124,5
6,1.06153266605235,2.69644197660005,-0.859288242995299,3.17232172672493,0.468320004614344,6
7,1.31364138433623,3.27528187009593,-1.2013093595625,2.65687193963274,0.511026763367517,7
8,1.33563287322986,3.31283742743323,-1.25356413261893,2.59416108831888,0.513790190691369,8
9,1.33684055886316,3.31339050553642,-1.25395052125084,2.59360848669473,0.513760158946044,9
10,1.73627382428285,3.25751695295706,-1.20563199709981,2.62048323458617,0.5027077538505,10
11,1.67285629879482,3.18564001566361,-1.26031389911741,2.61744005192466,0.496990844114856,11
12,1.68119130092005,3.23554158503892,-1.2746242037658,2.5946876805723,0.498501653181003,12
13,1.61551173270338,2.31383913885022,-0.933874529721902,1.55053125569285,0.445917052232055,13
14,1.57329328613737,2.31184449166143,-0.972197084089524,1.55547639116906,0.445993384157331,14
15,1.44731618511137,1.63189025216096,-0.746667315710046,1.49441646751201,0.419991223499605,15
16,1.45470126612486,1.62516916276649,-0.656837469932186,1.4874562671949,0.417015365492984,16
17,1.59417614863365,1.45555199682631,-0.814019471036616,1.20367930521878,0.407838445391207,17
18,1.68526978634418,1.61979662566485,-0.885280196494222,1.09560664486034,0.410548054644712,18
19,1.71110094041096,1.597249537255,-0.890706864464067,1.06057847711191,0.407836842961206,19
20,1.74119888341888,1.39084669304323,-0.83078210098103,0.999587423854474,0.394942361333304,20
21,1.6870567443029,1.29338464108962,-0.832452382257862,0.975612907032868,0.391082234889767,21
22,1.83463020878058,1.2545377106227,-0.832199664943764,0.809097340398402,0.3782519949954,22
23,1.80711628440889,1.26225555950206,-0.821123802980493,0.790641907440713,0.375627723838244,23
24,1.80897801963991,1.27647306065097,-0.831040000163898,0.773945156020089,0.375781962030733,24
25,1.86248443160976,1.27916025168079,-0.882910642482882,0.625820769941981,0.356744359260962,25
26,1.84093576099056,1.16117090335995,-0.826982054157504,0.612745150879829,0.351670770746854,26
27,1.72107788041658,1.01425890999771,-0.795394475515505,0.589136228705944,0.34224548214279,27
28,1.68543754070773,1.00789483605988,-0.929010668470373,0.407037452063097,0.330216674770448,28
29,1.6177633051944,0.942741850628244,-0.934253256807781,0.404923875361572,0.326343214969821,29
30,1.57558483999752,0.883832892676613,-0.95446749509907,0.296632356977293,0.32561947663011,30
31,1.39271894121898,0.690413586446267,-0.906884606613182,0.268971285917196,0.313097436463302,31
32,1.38143531575548,0.682757718853087,-0.908342381938643,0.268288346134611,0.313014592522509,32
33,1.35242954817554,0.716626858980878,-0.913490607596467,0.215739498165638,0.312334810483415,33
34,1.35307837392236,0.718757901489822,-0.908508990968547,0.213548293029985,0.312311640884012,34
35,1.39294166638578,0.504947611333396,-0.831871177617177,0.315687439312954,0.305189838019405,35
36,1.45789065917234,0.420013381916913,-0.836826402942644,0.217243286946839,0.294864996656178,36
37,1.45386045308566,0.41376293844258,-0.832295231792372,0.211467254350976,0.294443328019486,37
38,1.45205206142649,0.379492281382788,-0.857310449330896,0.22511401816377,0.293626352959447,38
39,1.45031954230719,0.393879831595519,-0.857395799140082,0.201505546375044,0.292931785562731,39
