"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",6,15,10,10
"CCA-LDA",6,16,10,11
"CCA-LDA",6,17,8,13
"CCA-LDA",6,18,9,12
"CCA-LDA",6,19,10,8
"CCA-LDA",6,20,9,9
"CCA-LDA",6,21,9,9
"CCA-LDA",6,22,8,11
"CCA-LDA",6,23,8,9
"CCA-LDA",6,24,10,9
"CCA-LDA",6,25,8,10
"CCA-LDA",6,26,7,7
"CCA-LDA",6,27,10,13
"CCA-LDA",6,28,9,10
"CCA-LDA",6,29,11,8
"CCA-LDA",6,30,8,8
"CCA-LDA",6,31,7,10
"CCA-LDA",6,32,9,9
"CCA-LDA",6,33,9,9
"CCA-LDA",6,34,10,9
"CCA-LDA",6,35,9,9
"CCA-LDA",6,36,8,11
"CCA-LDA",6,37,7,9
"CCA-LDA",6,38,10,10
"CCA-LDA",6,39,7,9
"CCA-LDA",6,40,8,11
"CCA-LDA",6,41,8,8
"CCA-LDA",6,42,7,10
"CCA-LDA",6,43,8,9
"CCA-LDA",7,1,9,12
"CCA-LDA",7,2,8,9
"CCA-LDA",7,3,13,11
"CCA-LDA",7,4,9,11
"CCA-LDA",7,5,10,9
"CCA-LDA",7,6,12,9
"CCA-LDA",7,7,8,8
"CCA-LDA",7,8,7,8
"CCA-LDA",7,9,12,8
"CCA-LDA",7,10,12,14
"CCA-LDA",7,11,11,13
"CCA-LDA",7,12,6,12
"CCA-LDA",7,13,10,9
"CCA-LDA",7,14,11,11
"CCA-LDA",7,15,11,12
"CCA-LDA",7,16,10,8
"CCA-LDA",7,17,9,12
"CCA-LDA",7,18,10,11
"CCA-LDA",7,19,12,8
"CCA-LDA",7,20,10,10
"CCA-LDA",7,21,11,10
"CCA-LDA",7,22,10,10
"CCA-LDA",7,23,10,9
"CCA-LDA",7,24,11,9
"CCA-LDA",7,25,11,9
"CCA-LDA",7,26,8,9
"CCA-LDA",7,27,11,11
"CCA-LDA",7,28,10,11
"CCA-LDA",7,29,11,11
"CCA-LDA",7,30,10,9
"CCA-LDA",7,31,8,12
"CCA-LDA",7,32,10,12
"CCA-LDA",7,33,10,11
"CCA-LDA",7,34,10,9
"CCA-LDA",7,35,9,11
"CCA-LDA",7,36,11,10
"CCA-LDA",7,37,9,10
"CCA-LDA",7,38,10,9
"CCA-LDA",7,39,10,11
"CCA-LDA",7,40,9,10
"CCA-LDA",7,41,10,8
"CCA-LDA",7,42,7,8
"CCA-LDA",7,43,9,10
"CCA-LDA",8,1,11,13
"CCA-LDA",8,2,10,9
"CCA-LDA",8,3,11,8
"CCA-LDA",8,4,10,12
"CCA-LDA",8,5,11,11
"CCA-LDA",8,6,11,6
"CCA-LDA",8,7,11,8
"CCA-LDA",8,8,7,10
"CCA-LDA",8,9,10,9
"CCA-LDA",8,10,12,15
"CCA-LDA",8,11,12,12
"CCA-LDA",8,12,10,13
"CCA-LDA",8,13,10,11
"CCA-LDA",8,14,10,11
"CCA-LDA",8,15,12,12
"CCA-LDA",8,16,12,9
"CCA-LDA",8,17,8,12
"CCA-LDA",8,18,10,10
"CCA-LDA",8,19,12,11
"CCA-LDA",8,20,11,10
"CCA-LDA",8,21,10,11
"CCA-LDA",8,22,10,10
"CCA-LDA",8,23,9,9
"CCA-LDA",8,24,10,11
"CCA-LDA",8,25,9,10
"CCA-LDA",8,26,10,9
"CCA-LDA",8,27,11,10
"CCA-LDA",8,28,9,10
"CCA-LDA",8,29,9,11
"CCA-LDA",8,30,9,11
"CCA-LDA",8,31,10,10
"CCA-LDA",8,32,9,12
"CCA-LDA",8,33,10,9
"CCA-LDA",8,34,10,8
"CCA-LDA",8,35,10,11
"CCA-LDA",8,36,10,9
"CCA-LDA",8,37,10,11
"CCA-LDA",8,38,12,11
"CCA-LDA",8,39,11,10
"CCA-LDA",8,40,9,9
"CCA-LDA",8,41,10,9
"CCA-LDA",8,42,7,9
"CCA-LDA",8,43,11,8
"CCA-LDA",9,1,12,8
"CCA-LDA",9,2,9,9
"CCA-LDA",9,3,11,8
"CCA-LDA",9,4,12,8
"CCA-LDA",9,5,11,7
"CCA-LDA",9,6,10,6
"CCA-LDA",9,7,11,11
"CCA-LDA",9,8,8,9
"CCA-LDA",9,9,9,10
"CCA-LDA",9,10,13,15
"CCA-LDA",9,11,11,10
"CCA-LDA",9,12,9,11
"CCA-LDA",9,13,10,10
"CCA-LDA",9,14,9,9
"CCA-LDA",9,15,12,10
"CCA-LDA",9,16,12,9
"CCA-LDA",9,17,8,11
"CCA-LDA",9,18,10,14
"CCA-LDA",9,19,12,11
"CCA-LDA",9,20,9,12
"CCA-LDA",9,21,9,12
"CCA-LDA",9,22,7,12
"CCA-LDA",9,23,8,9
"CCA-LDA",9,24,8,12
"CCA-LDA",9,25,10,9
"CCA-LDA",9,26,11,10
"CCA-LDA",9,27,11,10
"CCA-LDA",9,28,9,12
"CCA-LDA",9,29,7,12
"CCA-LDA",9,30,11,11
"CCA-LDA",9,31,8,10
"CCA-LDA",9,32,12,12
"CCA-LDA",9,33,10,11
"CCA-LDA",9,34,11,11
"CCA-LDA",9,35,10,10
"CCA-LDA",9,36,12,12
"CCA-LDA",9,37,9,11
"CCA-LDA",9,38,8,10
"CCA-LDA",9,39,9,11
"CCA-LDA",9,40,8,10
"CCA-LDA",9,41,8,10
"CCA-LDA",9,42,7,10
"CCA-LDA",9,43,10,11
"CCA-LDA",10,1,9,7
"CCA-LDA",10,2,9,8
"CCA-LDA",10,3,11,7
"CCA-LDA",10,4,9,7
"CCA-LDA",10,5,12,7
