"sim","method","n.dims","err","CV","Pi"
1,"CCA-LDA",27,0.0115822270538124,1,1
1,"PCA-LDA",35,0.00323105264033605,1,1
10,"CCA-LDA",36,0.101637606820765,1,1
10,"PCA-LDA",25,0.0600785806330737,1,1
100,"CCA-LDA",35,0.0321087224614082,1,1
100,"PCA-LDA",39,1.04337762368051e-07,1,1
101,"CCA-LDA",25,0.0659718335014215,1,1
101,"PCA-LDA",35,0.00676319383965865,1,1
102,"CCA-LDA",37,0.00208626086288876,1,1
102,"PCA-LDA",33,0.01041003822736,1,1
103,"CCA-LDA",37,0.0363702711921025,1,1
103,"PCA-LDA",39,4.26063411121569e-14,1,1
104,"CCA-LDA",30,0.0241679734370151,1,1
104,"PCA-LDA",35,0.0601211765419267,1,1
105,"CCA-LDA",3,0.350531739587219,1,1
105,"PCA-LDA",35,0.0668842985293825,1,1
106,"CCA-LDA",38,0.0114602059295442,1,1
106,"PCA-LDA",31,0.0405304687447629,1,1
107,"CCA-LDA",31,0.0344047321242246,1,1
107,"PCA-LDA",37,0.0599177460685566,1,1
108,"CCA-LDA",33,0.0105231015092069,1,1
108,"PCA-LDA",33,0.085098031180605,1,1
109,"CCA-LDA",31,0.0275557104415902,1,1
109,"PCA-LDA",37,0.0198847321240847,1,1
11,"CCA-LDA",38,0.00895202515968264,1,1
11,"PCA-LDA",37,0.00823574974104723,1,1
110,"CCA-LDA",36,0.0461547244347781,1,1
110,"PCA-LDA",34,0.00604564214457151,1,1
111,"CCA-LDA",25,0.0736653131019881,1,1
111,"PCA-LDA",30,0.0218997201295123,1,1
112,"CCA-LDA",32,0.0585876655758705,1,1
112,"PCA-LDA",37,0.0456058715736118,1,1
113,"CCA-LDA",33,0.0319157727624143,1,1
113,"PCA-LDA",33,0.0279064175279717,1,1
114,"CCA-LDA",34,0.0128285019962837,1,1
114,"PCA-LDA",37,0.0358610149421041,1,1
115,"CCA-LDA",28,0.0387746848651208,1,1
115,"PCA-LDA",37,0.00869091512969998,1,1
116,"CCA-LDA",34,0.0770704310152378,1,1
116,"PCA-LDA",39,6.86581725649403e-05,1,1
117,"CCA-LDA",27,0.0840295659685516,1,1
117,"PCA-LDA",30,0.118677061570084,1,1
118,"CCA-LDA",20,0.0512681797071242,1,1
118,"PCA-LDA",33,0.0532086709362594,1,1
119,"CCA-LDA",36,0.000761083797983833,1,1
119,"PCA-LDA",32,0.0447977144743246,1,1
12,"CCA-LDA",10,0.121040454865732,1,1
12,"PCA-LDA",37,6.16630289711104e-05,1,1
120,"CCA-LDA",31,0.00583351408071416,1,1
120,"PCA-LDA",24,0.14857451991976,1,1
121,"CCA-LDA",36,0.0378799230655224,1,1
121,"PCA-LDA",39,8.39064692706323e-13,1,1
122,"CCA-LDA",27,0.0610912723848628,1,1
122,"PCA-LDA",17,0.176538704273561,1,1
123,"CCA-LDA",20,0.0323918331501159,1,1
123,"PCA-LDA",38,0.00130390023339611,1,1
124,"CCA-LDA",32,0.012563075407924,1,1
124,"PCA-LDA",29,0.0375788811093625,1,1
125,"CCA-LDA",28,0.0511137893483488,1,1
125,"PCA-LDA",25,0.118975021211154,1,1
126,"CCA-LDA",37,0.0305197169160497,1,1
126,"PCA-LDA",29,0.0927731551905796,1,1
127,"CCA-LDA",39,0.033053071083816,1,1
127,"PCA-LDA",34,0.025551264320107,1,1
128,"CCA-LDA",28,0.0554756802152434,1,1
128,"PCA-LDA",31,0.0210819797478877,1,1
129,"CCA-LDA",28,0.0194948597664966,1,1
129,"PCA-LDA",37,0.0165832158532258,1,1
13,"CCA-LDA",35,0.0299173248142847,1,1
13,"PCA-LDA",32,0.0576037248450467,1,1
130,"CCA-LDA",34,0.0208255963853182,1,1
130,"PCA-LDA",35,0.0824155682082622,1,1
131,"CCA-LDA",33,0.133450276394637,1,1
131,"PCA-LDA",35,0.0470693982103306,1,1
132,"CCA-LDA",35,0.0414261276459894,1,1
132,"PCA-LDA",30,0.059015709883684,1,1
133,"CCA-LDA",13,0.0817493514530047,1,1
133,"PCA-LDA",36,0.00259579708580058,1,1
134,"CCA-LDA",27,0.028725777892574,1,1
134,"PCA-LDA",37,0.000469211931967969,1,1
135,"CCA-LDA",39,0.0263159155616808,1,1
135,"PCA-LDA",39,6.97215071086855e-05,1,1
136,"CCA-LDA",20,0.0810720894814156,1,1
136,"PCA-LDA",26,0.112384828948919,1,1
137,"CCA-LDA",31,0.0224885686187179,1,1
137,"PCA-LDA",39,0.0521099857003292,1,1
138,"CCA-LDA",37,0.0137386820828632,1,1
138,"PCA-LDA",36,0.0371511387836993,1,1
139,"CCA-LDA",33,0.0136739541697686,1,1
139,"PCA-LDA",39,0.0137614315101192,1,1
14,"CCA-LDA",39,0.0132050975712965,1,1
14,"PCA-LDA",38,0.0707141539084929,1,1
140,"CCA-LDA",37,0.028149274606765,1,1
140,"PCA-LDA",35,0.00396447063882446,1,1
141,"CCA-LDA",33,0.0188573223592082,1,1
141,"PCA-LDA",39,0,1,1
142,"CCA-LDA",16,0.0415925998690944,1,1
142,"PCA-LDA",34,0.0195775624114272,1,1
143,"CCA-LDA",39,0.0319665230872812,1,1
143,"PCA-LDA",37,1.57293135128433e-05,1,1
144,"CCA-LDA",26,0.0498706623019448,1,1
144,"PCA-LDA",38,0.0994829231460958,1,1
145,"CCA-LDA",37,0.108302172201589,1,1
145,"PCA-LDA",33,0.00152430088109616,1,1
146,"CCA-LDA",23,0.071486218021681,1,1
146,"PCA-LDA",37,0.0246908074497263,1,1
147,"CCA-LDA",34,0.0260869518005841,1,1
147,"PCA-LDA",34,0.0223575663520689,1,1
148,"CCA-LDA",15,0.101225161314178,1,1
148,"PCA-LDA",37,0.00315890429481364,1,1
149,"CCA-LDA",38,0.0233222352401535,1,1
149,"PCA-LDA",35,0.0047861081174528,1,1
15,"CCA-LDA",38,0.033640083170837,1,1
15,"PCA-LDA",37,2.40813732126093e-05,1,1
150,"CCA-LDA",18,0.0513238700954409,1,1
150,"PCA-LDA",39,0.00358109081938375,1,1
151,"CCA-LDA",26,0.0723014700616024,1,1
151,"PCA-LDA",28,0.0448062480437304,1,1
152,"CCA-LDA",39,3.55689106015783e-05,1,1
152,"PCA-LDA",34,0.0149447296047955,1,1
153,"CCA-LDA",33,0.0593023622067665,1,1
153,"PCA-LDA",35,0.0881736053841137,1,1
154,"CCA-LDA",36,0.0258426780129388,1,1
154,"PCA-LDA",27,0.0981404011553823,1,1
155,"CCA-LDA",28,0.0600365445878074,1,1
155,"PCA-LDA",28,0.0695621940921487,1,1
156,"CCA-LDA",22,0.0666177491824846,1,1
156,"PCA-LDA",29,0.0656199589545016,1,1
157,"CCA-LDA",29,0.110825259440588,1,1
157,"PCA-LDA",21,0.153916653486478,1,1
158,"CCA-LDA",32,0.0358771238006585,1,1
158,"PCA-LDA",32,0.138428067341363,1,1
159,"CCA-LDA",35,0.0423829673877243,1,1
159,"PCA-LDA",30,0.103119455825199,1,1
16,"CCA-LDA",32,0.0473639958680745,1,1
16,"PCA-LDA",28,0.0653215373953351,1,1
160,"CCA-LDA",33,0.0204021655394889,1,1
160,"PCA-LDA",36,1.02144776178555e-06,1,1
161,"CCA-LDA",36,0.0063636807294325,1,1
161,"PCA-LDA",30,0.0791478425095213,1,1
162,"CCA-LDA",37,0.00098034643427185,1,1
162,"PCA-LDA",35,0.0217428531413485,1,1
163,"CCA-LDA",26,0.0695732754799823,1,1
163,"PCA-LDA",28,0.0988350908747944,1,1
164,"CCA-LDA",23,0.0594699855580428,1,1
164,"PCA-LDA",39,7.72499749647713e-07,1,1
165,"CCA-LDA",36,0.0395749411531934,1,1
165,"PCA-LDA",35,0.0459787418824637,1,1
166,"CCA-LDA",28,0.106781242656395,1,1
166,"PCA-LDA",34,0.0287971649273102,1,1
167,"CCA-LDA",32,0.0404395314129432,1,1
167,"PCA-LDA",36,0.0333571191483883,1,1
168,"CCA-LDA",27,0.0380971447166341,1,1
168,"PCA-LDA",38,0.0085002716334628,1,1
169,"CCA-LDA",39,0.00458865942975964,1,1
169,"PCA-LDA",34,0.0131782746536471,1,1
17,"CCA-LDA",36,0.0546892298258985,1,1
17,"PCA-LDA",39,0.00153836999225617,1,1
170,"CCA-LDA",36,0.0238295939408726,1,1
170,"PCA-LDA",35,0.0472707780860565,1,1
171,"CCA-LDA",37,0.00212567895472993,1,1
171,"PCA-LDA",30,0.0350854315126203,1,1
172,"CCA-LDA",34,0.0491301225579317,1,1
172,"PCA-LDA",38,7.41544563689947e-06,1,1
173,"CCA-LDA",25,0.100560894040579,1,1
173,"PCA-LDA",25,0.0872427282657882,1,1
174,"CCA-LDA",33,0.0213681158748661,1,1
174,"PCA-LDA",32,0.0519572341751959,1,1
175,"CCA-LDA",35,0.0235217701592284,1,1
175,"PCA-LDA",34,0.000204307333472176,1,1
176,"CCA-LDA",35,0.000977592637148835,1,1
176,"PCA-LDA",31,0.101768081083702,1,1
177,"CCA-LDA",38,0.00695862475224502,1,1
177,"PCA-LDA",39,3.82680367788844e-13,1,1
178,"CCA-LDA",37,0.0237601251734117,1,1
178,"PCA-LDA",33,0.0872121914675588,1,1
179,"CCA-LDA",38,0.0184901706452497,1,1
179,"PCA-LDA",36,0.022815594950269,1,1
18,"CCA-LDA",24,0.0297895608601057,1,1
18,"PCA-LDA",32,0.0508561941516626,1,1
180,"CCA-LDA",39,0.0230957406788614,1,1
180,"PCA-LDA",32,0.0325520244716395,1,1
181,"CCA-LDA",30,0.0181631027862061,1,1
181,"PCA-LDA",39,4.7819828846449e-11,1,1
182,"CCA-LDA",25,0.0552287226443087,1,1
182,"PCA-LDA",36,0.030497348880069,1,1
183,"CCA-LDA",35,0.0401562300830238,1,1
183,"PCA-LDA",37,0.051387905367752,1,1
184,"CCA-LDA",38,4.22192211931105e-05,1,1
184,"PCA-LDA",34,0.0540655462819316,1,1
185,"CCA-LDA",35,0.0476343983545138,1,1
185,"PCA-LDA",39,0.000914125723673097,1,1
186,"CCA-LDA",21,0.14387122022379,1,1
186,"PCA-LDA",37,0.000613555794282252,1,1
187,"CCA-LDA",25,0.106179252786417,1,1
187,"PCA-LDA",37,0.00748095850251037,1,1
188,"CCA-LDA",34,0.0683059864437341,1,1
188,"PCA-LDA",26,0.0916976949200936,1,1
189,"CCA-LDA",38,0.00412939335865455,1,1
189,"PCA-LDA",32,0.00042404857544161,1,1
19,"CCA-LDA",38,0.0143475796337491,1,1
19,"PCA-LDA",31,0.0349746578111511,1,1
190,"CCA-LDA",32,0.0294552616630411,1,1
190,"PCA-LDA",32,0.0737068781830779,1,1
191,"CCA-LDA",36,0.00619601394673421,1,1
191,"PCA-LDA",39,1.76170838255312e-05,1,1
192,"CCA-LDA",36,0.0136880239219055,1,1
192,"PCA-LDA",33,0.0496896551662872,1,1
193,"CCA-LDA",38,0.0224909342138155,1,1
193,"PCA-LDA",30,0.0391334720976501,1,1
194,"CCA-LDA",35,0.00958607946048338,1,1
194,"PCA-LDA",35,0.00023909205768256,1,1
195,"CCA-LDA",22,0.0276410175190018,1,1
195,"PCA-LDA",33,0.0264307933113191,1,1
196,"CCA-LDA",31,0.0211388949600168,1,1
196,"PCA-LDA",38,0.00315803758682883,1,1
197,"CCA-LDA",38,0.0166111674302563,1,1
197,"PCA-LDA",39,0.00312564040827334,1,1
198,"CCA-LDA",17,0.0518422501879709,1,1
198,"PCA-LDA",38,0.00343040137311337,1,1
199,"CCA-LDA",29,0.0406350358723764,1,1
199,"PCA-LDA",28,0.0695634177858946,1,1
2,"CCA-LDA",19,0.100419269568169,1,1
2,"PCA-LDA",24,0.114007742759996,1,1
20,"CCA-LDA",14,0.0781183859801195,1,1
20,"PCA-LDA",30,0.149721157334558,1,1
