"sim","method","n.dims","fn","fp"
1,"PCA-LDA",7,0.13962677826979,0.109560433269228
1,"PCA-LDA",8,0.134672427679293,0.109626671683238
1,"PCA-LDA",9,0.135298857728078,0.100859698752498
1,"PCA-LDA",10,0.131378626719991,0.105462703198631
1,"PCA-LDA",11,0.130911963355995,0.111672786016621
1,"PCA-LDA",12,0.122209594537092,0.118216960595418
1,"PCA-LDA",13,0.0845363913002777,0.143603936019487
1,"PCA-LDA",14,0.0681619689306258,0.142428654678325
1,"PCA-LDA",15,0.0653658575217942,0.145048571003429
1,"PCA-LDA",16,0.0662483581267424,0.146247671090276
1,"PCA-LDA",17,0.0600582086194973,0.133934762906186
1,"PCA-LDA",18,0.0455352622670835,0.141180063243454
1,"PCA-LDA",19,0.0437177454579291,0.127447497032137
1,"PCA-LDA",20,0.0436408789222455,0.128037282270078
1,"PCA-LDA",21,0.0397140705793534,0.141921529279507
1,"PCA-LDA",22,0.0162408629654167,0.143660207407484
1,"PCA-LDA",23,0.0154442667908371,0.148775560183085
1,"PCA-LDA",24,0.0083213082814291,0.148365769893392
1,"PCA-LDA",25,0.00131721843864665,0.0912468880160176
1,"PCA-LDA",26,0.00303619809501997,0.0538712847336117
1,"PCA-LDA",27,0.00274757853225491,0.0528376502231777
1,"PCA-LDA",28,0.00254320153156455,0.0362928653380634
1,"PCA-LDA",29,0.00387728649625867,0.0240618986398114
1,"PCA-LDA",30,0.0112549792913661,0.00374438102982631
1,"PCA-LDA",31,0.013614550383984,0.003469910410581
1,"PCA-LDA",32,0.0137440605738068,0.00374978485557176
1,"PCA-LDA",33,0.0114298296218321,0.00207506928660624
1,"PCA-LDA",34,0.0161917328702679,0.000521691119280202
1,"PCA-LDA",35,0.00323084776046885,2.04879867201967e-07
1,"PCA-LDA",36,0.00283929395544209,1.09442262042365e-07
1,"PCA-LDA",37,0.00259728491374923,4.09806986089401e-09
1,"PCA-LDA",38,0.00275196950368623,1.31936481890314e-10
1,"PCA-LDA",39,0.00168865281484897,4.67223070313947e-14
2,"CCA-LDA",2,0.19954297434358,0.20468204262858
2,"CCA-LDA",3,0.12610193042619,0.178911239609825
2,"CCA-LDA",4,0.107216187942379,0.185839574128214
2,"CCA-LDA",5,0.10641955803951,0.19855178206956
2,"CCA-LDA",6,0.0856347410298764,0.147380741223898
2,"CCA-LDA",7,0.0871473123508136,0.14245084595231
