"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",6,15,2,7
"CCA-LDA",6,16,3,10
"CCA-LDA",6,17,4,9
"CCA-LDA",6,18,4,10
"CCA-LDA",6,19,4,8
"CCA-LDA",6,20,6,9
"CCA-LDA",6,21,4,7
"CCA-LDA",6,22,4,9
"CCA-LDA",6,23,4,5
"CCA-LDA",6,24,3,6
"CCA-LDA",6,25,5,9
"CCA-LDA",6,26,3,4
"CCA-LDA",6,27,3,8
"CCA-LDA",6,28,4,7
"CCA-LDA",6,29,5,7
"CCA-LDA",6,30,3,6
"CCA-LDA",6,31,4,8
"CCA-LDA",6,32,4,7
"CCA-LDA",6,33,5,7
"CCA-LDA",6,34,3,9
"CCA-LDA",6,35,4,9
"CCA-LDA",6,36,2,9
"CCA-LDA",6,37,5,9
"CCA-LDA",6,38,4,4
"CCA-LDA",6,39,5,8
"CCA-LDA",6,40,2,6
"CCA-LDA",6,41,3,9
"CCA-LDA",6,42,4,6
"CCA-LDA",6,43,4,10
"CCA-LDA",7,1,2,10
"CCA-LDA",7,2,3,7
"CCA-LDA",7,3,6,10
"CCA-LDA",7,4,2,7
"CCA-LDA",7,5,2,7
"CCA-LDA",7,6,3,6
"CCA-LDA",7,7,5,5
"CCA-LDA",7,8,3,9
"CCA-LDA",7,9,3,10
"CCA-LDA",7,10,4,4
"CCA-LDA",7,11,4,8
"CCA-LDA",7,12,3,9
"CCA-LDA",7,13,3,5
"CCA-LDA",7,14,4,9
"CCA-LDA",7,15,2,4
"CCA-LDA",7,16,3,7
"CCA-LDA",7,17,3,10
"CCA-LDA",7,18,5,12
"CCA-LDA",7,19,3,6
"CCA-LDA",7,20,5,6
"CCA-LDA",7,21,3,7
"CCA-LDA",7,22,5,8
"CCA-LDA",7,23,4,5
"CCA-LDA",7,24,2,6
"CCA-LDA",7,25,6,9
"CCA-LDA",7,26,3,4
"CCA-LDA",7,27,3,7
"CCA-LDA",7,28,3,8
"CCA-LDA",7,29,5,8
"CCA-LDA",7,30,3,6
"CCA-LDA",7,31,4,7
"CCA-LDA",7,32,4,7
"CCA-LDA",7,33,5,6
"CCA-LDA",7,34,3,8
"CCA-LDA",7,35,4,9
"CCA-LDA",7,36,3,7
"CCA-LDA",7,37,4,8
"CCA-LDA",7,38,3,7
"CCA-LDA",7,39,6,9
"CCA-LDA",7,40,2,7
"CCA-LDA",7,41,3,8
"CCA-LDA",7,42,4,5
"CCA-LDA",7,43,4,7
"CCA-LDA",8,1,3,9
"CCA-LDA",8,2,4,7
"CCA-LDA",8,3,6,8
"CCA-LDA",8,4,3,6
"CCA-LDA",8,5,2,6
"CCA-LDA",8,6,4,5
"CCA-LDA",8,7,3,6
"CCA-LDA",8,8,3,9
"CCA-LDA",8,9,3,10
"CCA-LDA",8,10,4,7
"CCA-LDA",8,11,2,10
"CCA-LDA",8,12,5,8
"CCA-LDA",8,13,3,3
"CCA-LDA",8,14,3,8
"CCA-LDA",8,15,2,4
"CCA-LDA",8,16,3,6
"CCA-LDA",8,17,4,11
"CCA-LDA",8,18,4,11
"CCA-LDA",8,19,2,8
"CCA-LDA",8,20,5,6
"CCA-LDA",8,21,2,4
"CCA-LDA",8,22,4,8
"CCA-LDA",8,23,4,5
"CCA-LDA",8,24,1,7
"CCA-LDA",8,25,4,7
"CCA-LDA",8,26,2,4
"CCA-LDA",8,27,3,6
"CCA-LDA",8,28,3,8
"CCA-LDA",8,29,3,6
"CCA-LDA",8,30,3,6
"CCA-LDA",8,31,3,4
"CCA-LDA",8,32,4,7
"CCA-LDA",8,33,4,3
"CCA-LDA",8,34,3,8
"CCA-LDA",8,35,4,8
"CCA-LDA",8,36,1,6
"CCA-LDA",8,37,2,6
"CCA-LDA",8,38,4,6
"CCA-LDA",8,39,5,8
"CCA-LDA",8,40,3,6
"CCA-LDA",8,41,2,7
"CCA-LDA",8,42,4,2
"CCA-LDA",8,43,4,8
"CCA-LDA",9,1,4,7
"CCA-LDA",9,2,3,5
"CCA-LDA",9,3,2,10
"CCA-LDA",9,4,3,5
"CCA-LDA",9,5,2,7
"CCA-LDA",9,6,4,5
"CCA-LDA",9,7,3,6
"CCA-LDA",9,8,2,7
"CCA-LDA",9,9,4,5
"CCA-LDA",9,10,5,7
"CCA-LDA",9,11,2,9
"CCA-LDA",9,12,3,6
"CCA-LDA",9,13,3,3
"CCA-LDA",9,14,4,7
"CCA-LDA",9,15,2,3
"CCA-LDA",9,16,3,5
"CCA-LDA",9,17,5,8
"CCA-LDA",9,18,3,11
"CCA-LDA",9,19,2,8
"CCA-LDA",9,20,1,6
"CCA-LDA",9,21,4,3
"CCA-LDA",9,22,5,9
"CCA-LDA",9,23,4,6
"CCA-LDA",9,24,1,6
"CCA-LDA",9,25,3,5
