"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",2,1,5,12
"CCA-LDA",2,2,6,9
"CCA-LDA",2,3,5,11
"CCA-LDA",2,4,4,11
"CCA-LDA",2,5,5,12
"CCA-LDA",2,6,5,11
"CCA-LDA",2,7,5,11
"CCA-LDA",2,8,4,12
"CCA-LDA",2,9,5,11
"CCA-LDA",2,10,5,11
"CCA-LDA",2,11,4,11
"CCA-LDA",2,12,5,11
"CCA-LDA",2,13,4,10
"CCA-LDA",2,14,6,10
"CCA-LDA",2,15,6,10
"CCA-LDA",2,16,5,11
"CCA-LDA",2,17,5,10
"CCA-LDA",2,18,5,9
"CCA-LDA",2,19,5,11
"CCA-LDA",2,20,5,11
"CCA-LDA",2,21,5,11
"CCA-LDA",2,22,5,11
"CCA-LDA",2,23,5,11
"CCA-LDA",2,24,5,11
"CCA-LDA",2,25,6,10
"CCA-LDA",2,26,5,11
"CCA-LDA",2,27,5,10
"CCA-LDA",2,28,5,11
"CCA-LDA",2,29,5,11
"CCA-LDA",2,30,5,9
"CCA-LDA",2,31,5,11
"CCA-LDA",2,32,5,11
"CCA-LDA",2,33,5,11
"CCA-LDA",2,34,5,11
"CCA-LDA",2,35,5,11
"CCA-LDA",2,36,5,11
"CCA-LDA",2,37,5,10
"CCA-LDA",2,38,6,10
"CCA-LDA",2,39,5,11
"CCA-LDA",2,40,5,10
"CCA-LDA",2,41,5,10
"CCA-LDA",2,42,5,10
"CCA-LDA",2,43,5,11
"CCA-LDA",3,1,4,9
"CCA-LDA",3,2,4,9
"CCA-LDA",3,3,4,9
"CCA-LDA",3,4,4,8
"CCA-LDA",3,5,4,9
"CCA-LDA",3,6,3,9
"CCA-LDA",3,7,4,9
"CCA-LDA",3,8,3,9
"CCA-LDA",3,9,4,9
"CCA-LDA",3,10,4,9
"CCA-LDA",3,11,4,8
"CCA-LDA",3,12,2,10
"CCA-LDA",3,13,3,8
"CCA-LDA",3,14,4,9
"CCA-LDA",3,15,4,9
"CCA-LDA",3,16,4,9
"CCA-LDA",3,17,4,8
"CCA-LDA",3,18,4,8
"CCA-LDA",3,19,4,9
"CCA-LDA",3,20,4,9
"CCA-LDA",3,21,4,9
"CCA-LDA",3,22,4,9
"CCA-LDA",3,23,4,9
"CCA-LDA",3,24,4,8
"CCA-LDA",3,25,4,9
"CCA-LDA",3,26,4,8
"CCA-LDA",3,27,4,9
"CCA-LDA",3,28,4,8
"CCA-LDA",3,29,4,9
"CCA-LDA",3,30,4,8
"CCA-LDA",3,31,4,8
"CCA-LDA",3,32,4,9
"CCA-LDA",3,33,4,8
"CCA-LDA",3,34,4,9
"CCA-LDA",3,35,4,8
"CCA-LDA",3,36,4,9
"CCA-LDA",3,37,4,8
"CCA-LDA",3,38,4,9
"CCA-LDA",3,39,4,8
"CCA-LDA",3,40,4,9
"CCA-LDA",3,41,4,8
"CCA-LDA",3,42,4,8
"CCA-LDA",3,43,4,9
"CCA-LDA",4,1,2,7
"CCA-LDA",4,2,2,8
"CCA-LDA",4,3,4,7
"CCA-LDA",4,4,3,6
"CCA-LDA",4,5,4,6
"CCA-LDA",4,6,2,7
"CCA-LDA",4,7,2,8
"CCA-LDA",4,8,3,9
"CCA-LDA",4,9,4,7
"CCA-LDA",4,10,4,7
"CCA-LDA",4,11,4,7
"CCA-LDA",4,12,1,8
"CCA-LDA",4,13,3,6
"CCA-LDA",4,14,2,8
"CCA-LDA",4,15,2,8
"CCA-LDA",4,16,3,7
"CCA-LDA",4,17,3,8
"CCA-LDA",4,18,3,7
"CCA-LDA",4,19,2,8
"CCA-LDA",4,20,4,7
"CCA-LDA",4,21,2,8
"CCA-LDA",4,22,2,8
"CCA-LDA",4,23,4,5
"CCA-LDA",4,24,4,7
"CCA-LDA",4,25,4,7
"CCA-LDA",4,26,2,7
"CCA-LDA",4,27,4,7
"CCA-LDA",4,28,2,8
"CCA-LDA",4,29,4,7
"CCA-LDA",4,30,4,7
"CCA-LDA",4,31,4,6
"CCA-LDA",4,32,3,7
"CCA-LDA",4,33,2,7
"CCA-LDA",4,34,4,7
"CCA-LDA",4,35,3,6
"CCA-LDA",4,36,3,7
"CCA-LDA",4,37,4,7
"CCA-LDA",4,38,2,7
"CCA-LDA",4,39,2,7
"CCA-LDA",4,40,4,7
"CCA-LDA",4,41,4,7
"CCA-LDA",4,42,4,5
"CCA-LDA",4,43,4,7
"CCA-LDA",5,1,4,7
"CCA-LDA",5,2,4,7
"CCA-LDA",5,3,3,7
"CCA-LDA",5,4,3,6
"CCA-LDA",5,5,4,7
"CCA-LDA",5,6,3,7
"CCA-LDA",5,7,4,7
"CCA-LDA",5,8,3,9
"CCA-LDA",5,9,4,7
"CCA-LDA",5,10,4,7
"CCA-LDA",5,11,4,7
"CCA-LDA",5,12,1,8
"CCA-LDA",5,13,3,6
"CCA-LDA",5,14,3,8
"CCA-LDA",5,15,4,7
"CCA-LDA",5,16,4,7
"CCA-LDA",5,17,3,8
"CCA-LDA",5,18,4,7
"CCA-LDA",5,19,4,7
"CCA-LDA",5,20,4,7
"CCA-LDA",5,21,3,8
"CCA-LDA",5,22,4,7
"CCA-LDA",5,23,4,5
