"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi","Alt"
151,"PCA-LDA",28,0,NA,NA,1,1,2
152,"CCA-LDA",39,7,NA,NA,1,1,2
152,"PCA-LDA",34,3,NA,NA,1,1,2
153,"CCA-LDA",33,4,NA,NA,1,1,2
153,"PCA-LDA",35,0,NA,NA,1,1,2
154,"CCA-LDA",36,3,NA,NA,1,1,2
154,"PCA-LDA",27,1,NA,NA,1,1,2
155,"CCA-LDA",28,8,NA,NA,1,1,2
155,"PCA-LDA",28,1,NA,NA,1,1,2
156,"CCA-LDA",22,3,NA,NA,1,1,2
156,"PCA-LDA",29,0,NA,NA,1,1,2
157,"CCA-LDA",29,4,NA,NA,1,1,2
157,"PCA-LDA",21,2,NA,NA,1,1,2
158,"CCA-LDA",32,2,NA,NA,1,1,2
158,"PCA-LDA",32,0,NA,NA,1,1,2
159,"CCA-LDA",35,7,NA,NA,1,1,2
159,"PCA-LDA",30,1,NA,NA,1,1,2
16,"CCA-LDA",32,6,NA,NA,1,1,2
16,"PCA-LDA",28,0,NA,NA,1,1,2
160,"CCA-LDA",33,3,NA,NA,1,1,2
160,"PCA-LDA",36,0,NA,NA,1,1,2
161,"CCA-LDA",36,1,NA,NA,1,1,2
161,"PCA-LDA",30,3,NA,NA,1,1,2
162,"CCA-LDA",37,5,NA,NA,1,1,2
162,"PCA-LDA",35,1,NA,NA,1,1,2
163,"CCA-LDA",26,4,NA,NA,1,1,2
163,"PCA-LDA",28,1,NA,NA,1,1,2
164,"CCA-LDA",23,5,NA,NA,1,1,2
164,"PCA-LDA",39,1,NA,NA,1,1,2
165,"CCA-LDA",36,4,NA,NA,1,1,2
165,"PCA-LDA",35,1,NA,NA,1,1,2
166,"CCA-LDA",28,4,NA,NA,1,1,2
166,"PCA-LDA",34,0,NA,NA,1,1,2
167,"CCA-LDA",32,3,NA,NA,1,1,2
167,"PCA-LDA",36,1,NA,NA,1,1,2
168,"CCA-LDA",27,3,NA,NA,1,1,2
168,"PCA-LDA",38,0,NA,NA,1,1,2
169,"CCA-LDA",39,5,NA,NA,1,1,2
169,"PCA-LDA",34,1,NA,NA,1,1,2
17,"CCA-LDA",36,2,NA,NA,1,1,2
17,"PCA-LDA",39,0,NA,NA,1,1,2
170,"CCA-LDA",36,4,NA,NA,1,1,2
170,"PCA-LDA",35,0,NA,NA,1,1,2
171,"CCA-LDA",37,5,NA,NA,1,1,2
171,"PCA-LDA",30,0,NA,NA,1,1,2
172,"CCA-LDA",34,5,NA,NA,1,1,2
172,"PCA-LDA",38,0,NA,NA,1,1,2
173,"CCA-LDA",25,3,NA,NA,1,1,2
173,"PCA-LDA",25,0,NA,NA,1,1,2
174,"CCA-LDA",33,3,NA,NA,1,1,2
174,"PCA-LDA",32,0,NA,NA,1,1,2
175,"CCA-LDA",35,4,NA,NA,1,1,2
175,"PCA-LDA",34,0,NA,NA,1,1,2
176,"CCA-LDA",35,2,NA,NA,1,1,2
176,"PCA-LDA",31,0,NA,NA,1,1,2
177,"CCA-LDA",38,4,NA,NA,1,1,2
177,"PCA-LDA",39,0,NA,NA,1,1,2
178,"CCA-LDA",37,2,NA,NA,1,1,2
178,"PCA-LDA",33,1,NA,NA,1,1,2
179,"CCA-LDA",38,3,NA,NA,1,1,2
179,"PCA-LDA",36,0,NA,NA,1,1,2
18,"CCA-LDA",24,3,NA,NA,1,1,2
18,"PCA-LDA",32,2,NA,NA,1,1,2
180,"CCA-LDA",39,2,NA,NA,1,1,2
180,"PCA-LDA",32,0,NA,NA,1,1,2
181,"CCA-LDA",30,7,NA,NA,1,1,2
181,"PCA-LDA",39,1,NA,NA,1,1,2
182,"CCA-LDA",25,4,NA,NA,1,1,2
182,"PCA-LDA",36,0,NA,NA,1,1,2
183,"CCA-LDA",35,4,NA,NA,1,1,2
183,"PCA-LDA",37,1,NA,NA,1,1,2
184,"CCA-LDA",38,4,NA,NA,1,1,2
184,"PCA-LDA",34,0,NA,NA,1,1,2
185,"CCA-LDA",35,1,NA,NA,1,1,2
185,"PCA-LDA",39,0,NA,NA,1,1,2
186,"CCA-LDA",21,1,NA,NA,1,1,2
186,"PCA-LDA",37,0,NA,NA,1,1,2
187,"CCA-LDA",25,3,NA,NA,1,1,2
187,"PCA-LDA",37,0,NA,NA,1,1,2
188,"CCA-LDA",34,2,NA,NA,1,1,2
188,"PCA-LDA",26,0,NA,NA,1,1,2
189,"CCA-LDA",38,4,NA,NA,1,1,2
189,"PCA-LDA",32,0,NA,NA,1,1,2
19,"CCA-LDA",38,3,NA,NA,1,1,2
19,"PCA-LDA",31,0,NA,NA,1,1,2
190,"CCA-LDA",32,3,NA,NA,1,1,2
190,"PCA-LDA",32,0,NA,NA,1,1,2
191,"CCA-LDA",36,6,NA,NA,1,1,2
191,"PCA-LDA",39,1,NA,NA,1,1,2
192,"CCA-LDA",36,2,NA,NA,1,1,2
192,"PCA-LDA",33,0,NA,NA,1,1,2
193,"CCA-LDA",38,3,NA,NA,1,1,2
193,"PCA-LDA",30,0,NA,NA,1,1,2
194,"CCA-LDA",35,5,NA,NA,1,1,2
194,"PCA-LDA",35,0,NA,NA,1,1,2
195,"CCA-LDA",22,4,NA,NA,1,1,2
195,"PCA-LDA",33,1,NA,NA,1,1,2
196,"CCA-LDA",31,4,NA,NA,1,1,2
196,"PCA-LDA",38,0,NA,NA,1,1,2
197,"CCA-LDA",38,7,NA,NA,1,1,2
197,"PCA-LDA",39,0,NA,NA,1,1,2
198,"CCA-LDA",17,5,NA,NA,1,1,2
198,"PCA-LDA",38,0,NA,NA,1,1,2
199,"CCA-LDA",29,5,NA,NA,1,1,2
199,"PCA-LDA",28,2,NA,NA,1,1,2
2,"CCA-LDA",19,4,NA,NA,1,1,2
2,"PCA-LDA",24,2,NA,NA,1,1,2
20,"CCA-LDA",14,4,NA,NA,1,1,2
20,"PCA-LDA",30,2,NA,NA,1,1,2
200,"CCA-LDA",27,3,NA,NA,1,1,2
200,"PCA-LDA",39,2,NA,NA,1,1,2
21,"CCA-LDA",33,2,NA,NA,1,1,2
21,"PCA-LDA",38,1,NA,NA,1,1,2
22,"CCA-LDA",31,4,NA,NA,1,1,2
22,"PCA-LDA",36,0,NA,NA,1,1,2
23,"CCA-LDA",34,0,NA,NA,1,1,2
23,"PCA-LDA",32,0,NA,NA,1,1,2
24,"CCA-LDA",37,4,NA,NA,1,1,2
24,"PCA-LDA",38,1,NA,NA,1,1,2
25,"CCA-LDA",38,3,NA,NA,1,1,2
25,"PCA-LDA",38,0,NA,NA,1,1,2
26,"CCA-LDA",36,2,NA,NA,1,1,2
26,"PCA-LDA",33,0,NA,NA,1,1,2
27,"CCA-LDA",29,6,NA,NA,1,1,2
27,"PCA-LDA",31,1,NA,NA,1,1,2
28,"CCA-LDA",25,1,NA,NA,1,1,2
28,"PCA-LDA",39,0,NA,NA,1,1,2
29,"CCA-LDA",23,4,NA,NA,1,1,2
29,"PCA-LDA",36,1,NA,NA,1,1,2
3,"CCA-LDA",32,3,NA,NA,1,1,2
3,"PCA-LDA",36,0,NA,NA,1,1,2
30,"CCA-LDA",31,3,NA,NA,1,1,2
30,"PCA-LDA",39,1,NA,NA,1,1,2
31,"CCA-LDA",31,5,NA,NA,1,1,2
31,"PCA-LDA",32,0,NA,NA,1,1,2
32,"CCA-LDA",33,0,NA,NA,1,1,2
32,"PCA-LDA",39,0,NA,NA,1,1,2
33,"CCA-LDA",21,2,NA,NA,1,1,2
33,"PCA-LDA",29,1,NA,NA,1,1,2
34,"CCA-LDA",29,4,NA,NA,1,1,2
34,"PCA-LDA",38,1,NA,NA,1,1,2
35,"CCA-LDA",34,6,NA,NA,1,1,2
35,"PCA-LDA",39,1,NA,NA,1,1,2
36,"CCA-LDA",24,5,NA,NA,1,1,2
36,"PCA-LDA",28,0,NA,NA,1,1,2
37,"CCA-LDA",34,1,NA,NA,1,1,2
37,"PCA-LDA",31,0,NA,NA,1,1,2
38,"CCA-LDA",17,7,NA,NA,1,1,2
38,"PCA-LDA",29,0,NA,NA,1,1,2
39,"CCA-LDA",31,3,NA,NA,1,1,2
39,"PCA-LDA",38,0,NA,NA,1,1,2
4,"CCA-LDA",31,3,NA,NA,1,1,2
4,"PCA-LDA",36,0,NA,NA,1,1,2
40,"CCA-LDA",38,0,NA,NA,1,1,2
40,"PCA-LDA",32,0,NA,NA,1,1,2
41,"CCA-LDA",37,3,NA,NA,1,1,2
41,"PCA-LDA",38,1,NA,NA,1,1,2
42,"CCA-LDA",30,3,NA,NA,1,1,2
42,"PCA-LDA",36,0,NA,NA,1,1,2
43,"CCA-LDA",37,4,NA,NA,1,1,2
43,"PCA-LDA",38,2,NA,NA,1,1,2
44,"CCA-LDA",24,4,NA,NA,1,1,2
44,"PCA-LDA",37,0,NA,NA,1,1,2
45,"CCA-LDA",32,5,NA,NA,1,1,2
45,"PCA-LDA",25,0,NA,NA,1,1,2
46,"CCA-LDA",16,3,NA,NA,1,1,2
46,"PCA-LDA",18,3,NA,NA,1,1,2
47,"CCA-LDA",33,2,NA,NA,1,1,2
47,"PCA-LDA",31,0,NA,NA,1,1,2
48,"CCA-LDA",38,3,NA,NA,1,1,2
48,"PCA-LDA",36,1,NA,NA,1,1,2
49,"CCA-LDA",32,6,NA,NA,1,1,2
49,"PCA-LDA",37,0,NA,NA,1,1,2
5,"CCA-LDA",25,4,NA,NA,1,1,2
5,"PCA-LDA",27,2,NA,NA,1,1,2
50,"CCA-LDA",36,6,NA,NA,1,1,2
50,"PCA-LDA",32,0,NA,NA,1,1,2
51,"CCA-LDA",34,3,NA,NA,1,1,2
51,"PCA-LDA",39,0,NA,NA,1,1,2
52,"CCA-LDA",39,3,NA,NA,1,1,2
52,"PCA-LDA",37,0,NA,NA,1,1,2
53,"CCA-LDA",39,4,NA,NA,1,1,2
53,"PCA-LDA",34,2,NA,NA,1,1,2
54,"CCA-LDA",39,6,NA,NA,1,1,2
54,"PCA-LDA",39,1,NA,NA,1,1,2
55,"CCA-LDA",29,3,NA,NA,1,1,2
55,"PCA-LDA",36,0,NA,NA,1,1,2
56,"CCA-LDA",39,2,NA,NA,1,1,2
56,"PCA-LDA",37,0,NA,NA,1,1,2
57,"CCA-LDA",27,5,NA,NA,1,1,2
57,"PCA-LDA",32,0,NA,NA,1,1,2
58,"CCA-LDA",35,6,NA,NA,1,1,2
58,"PCA-LDA",37,1,NA,NA,1,1,2
59,"CCA-LDA",36,3,NA,NA,1,1,2
59,"PCA-LDA",31,0,NA,NA,1,1,2
6,"CCA-LDA",28,4,NA,NA,1,1,2
6,"PCA-LDA",39,1,NA,NA,1,1,2
60,"CCA-LDA",32,7,NA,NA,1,1,2
60,"PCA-LDA",38,1,NA,NA,1,1,2
61,"CCA-LDA",19,4,NA,NA,1,1,2
